food_name,sweet,sweet2,spicy,spicy2,sour,sour2,bitter,bitter2,salty,salty2,crispy,sticky,oily,plain,test
된장찌개,16696.333333333332,17303.416666666668,30590.083333333332,48618.833333333336,14105.75,20306.75,2915.3333333333335,23845.0,3049.1666666666665,18331.75,6645.916666666667,8822.0,1319.25,6161.916666666667,445658.5833333333
생선회,2056.8333333333335,2204.3333333333335,2653.25,3156.6666666666665,2112.4166666666665,2383.1666666666665,421.5,2434.6666666666665,288.9166666666667,1669.3333333333333,1310.5833333333333,1083.4166666666667,116.66666666666667,597.0833333333334,34824.5
깍두기,9083.0,11061.166666666666,29821.75,46373.916666666664,7756.666666666667,12921.833333333334,1515.25,13622.0,1613.3333333333333,10096.916666666666,6360.5,5779.083333333333,850.1666666666666,4942.75,261247.58333333334
도토리묵,1533.3333333333333,1770.0,3421.9166666666665,5341.0,1467.1666666666667,2351.6666666666665,725.9166666666666,2217.4166666666665,240.91666666666666,1655.1666666666667,925.1666666666666,945.0833333333334,70.58333333333333,629.0,37082.5
절편,1576.9166666666667,1709.75,586.8333333333334,1012.8333333333334,439.25,903.8333333333334,344.1666666666667,1823.6666666666667,105.75,662.8333333333334,442.75,838.75,73.83333333333333,170.83333333333334,19364.916666666668
설렁탕,1959.0833333333333,2445.0833333333335,5302.666666666667,8722.583333333334,1351.8333333333333,3215.5833333333335,445.5833333333333,4330.166666666667,344.5833333333333,2194.5833333333335,694.0,955.25,172.25,1095.1666666666667,62179.666666666664
크림파스타,7426.666666666667,6541.75,16445.0,21950.25,5642.5,6429.5,1053.3333333333333,8510.833333333334,1076.5,5678.0,4927.75,3113.6666666666665,1313.4166666666667,2080.0,141924.58333333334
아메리카노,83608.91666666667,63617.083333333336,21889.166666666668,35325.25,22391.583333333332,46783.5,13234.916666666666,76969.75,2732.6666666666665,25659.416666666668,21397.25,11609.0,2195.8333333333335,6088.083333333333,954299.75
메밀소바,665.5,766.25,1059.75,1916.1666666666667,517.75,751.75,108.0,957.25,135.33333333333334,756.25,741.8333333333334,430.5,55.0,236.16666666666666,15153.5
일식돈가스,68.25,67.25,135.25,232.75,68.33333333333333,76.0,8.416666666666666,92.08333333333333,8.833333333333334,91.0,225.41666666666666,28.583333333333332,12.333333333333334,23.75,1557.75
부추전,1550.3333333333333,1834.75,3939.1666666666665,6183.5,1254.6666666666667,2140.0,290.0,2249.0,218.0,1688.0,2642.25,944.25,99.75,547.6666666666666,39372.25
