식품명,식품대분류명,대표식품명,식품중분류명
가래떡,빵 및 과자류,가래떡,해당없음
가오리찜,찜류,가오리찜,해당없음
가오리콩나물찜,찜류,가오리콩나물찜,해당없음
가자미구이,구이류,가자미구이,해당없음
가자미식해,젓갈류,가자미식해,해당없음
가자미조림,조림류,가자미조림,해당없음
가죽나물무침,생채·무침류,가죽나물무침,해당없음
가지나물,나물·숙채류,가지나물,해당없음
가지볶음_가지,볶음류,가지볶음,가지
가지전,전·적 및 부침류,가지전,해당없음
간자장,면 및 만두류,간자장,해당없음
간자장_해물,면 및 만두류,간자장,해물
간장게장,젓갈류,게장,간장
간재미회무침,생채·무침류,간재미회무침,해당없음
갈매기살구이_돼지고기,구이류,갈매기살구이,돼지고기
갈비구이_돼지고기,구이류,갈비구이,돼지고기
갈비구이_소고기,구이류,갈비구이,소고기
갈비찜_소고기,찜류,갈비찜,소고기
갈비탕,국 및 탕류,갈비탕,해당없음
갈치구이,구이류,갈치구이,해당없음
갈치젓_양념,젓갈류,갈치젓,양념
갈치조림_무,조림류,갈치조림,무
갈치찌개,찌개 및 전골류,갈치찌개,해당없음
감바스,볶음류,감바스,해당없음
감자_찐감자,찜류,감자,찐감자
감자구이,구이류,감자구이,해당없음
감자국,국 및 탕류,감자국,해당없음
감자볶음,볶음류,감자볶음,해당없음
감자빵,빵 및 과자류,감자빵,해당없음
감자전,전·적 및 부침류,감자전,해당없음
감자조림,조림류,감자조림,해당없음
감자탕,찌개 및 전골류,감자탕,해당없음
감자튀김,튀김류,감자튀김,해당없음
갑오징어무침,생채·무침류,갑오징어무침,해당없음
갓김치,김치류,갓김치,해당없음
개고기무침,생채·무침류,개고기무침,해당없음
개고기전골,찌개 및 전골류,개고기전골,해당없음
개피떡(바람떡),빵 및 과자류,개피떡(바람떡),해당없음
건새우볶음,볶음류,건새우볶음,해당없음
건포도빵,빵 및 과자류,건포도빵,해당없음
건표고버섯볶음,볶음류,건표고버섯볶음,건표고버섯
겉절이,생채·무침류,겉절이,배추
게국지,국 및 탕류,게국지,해당없음
게살죽,죽 및 스프류,게살죽,해당없음
견과,"두류, 견과 및 종실류",견과,해당없음
견과_이너츠,"두류, 견과 및 종실류",견과,해당없음
경단_깨,빵 및 과자류,경단,깨
경단_깨,빵 및 과자류,경단,깨
경단_찹쌀_카스텔라,빵 및 과자류,경단,찹쌀
경단_콩,빵 및 과자류,경단,콩
계란덮밥,밥류,계란덮밥,해당없음
계란빵_쌀계란빵,빵 및 과자류,계란빵,해당없음
계란빵_트윈에그브레드,빵 및 과자류,계란빵,해당없음
고구마_고구마 말랭이,빵 및 과자류,고구마,해당없음
고구마_밤고구마_삶은것,"곡류, 서류 제품",고구마,밤고구마
고구마_찐고구마,찜류,고구마,찐고구마
고구마_한입에 쏙 고구마,빵 및 과자류,고구마,해당없음
고구마맛탕,튀김류,고구마맛탕,해당없음
고구마전,전·적 및 부침류,고구마전,해당없음
고구마줄기나물,나물·숙채류,고구마줄기나물,해당없음
고구마줄기나물,나물·숙채류,고구마줄기나물,해당없음
고구마줄기나물,나물·숙채류,고구마줄기나물,해당없음
고구마튀김,튀김류,고구마튀김,해당없음
고구마튀김,튀김류,고구마튀김,해당없음
고기만두,면 및 만두류,만두,고기만두
고들빼기김치,김치류,고들빼기김치,해당없음
고들빼기김치,김치류,고들빼기김치,해당없음
고등어구이,구이류,고등어구이,해당없음
고등어구이,구이류,고등어구이,해당없음
고등어구이,구이류,고등어구이,해당없음
고등어구이,구이류,고등어구이,해당없음
고등어구이_석쇠,구이류,고등어구이,석쇠
고등어조림,조림류,고등어조림,해당없음
고등어조림,조림류,고등어조림,해당없음
고등어조림_배추김치,조림류,고등어조림,배추김치
고등어조림_배추김치,조림류,고등어조림,배추김치
고등어조림_배추김치,조림류,고등어조림,배추김치
고등어조림_배추김치,조림류,고등어조림,배추김치
고등어찌개,찌개 및 전골류,고등어찌개,해당없음
고로케_NEW김치고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_감자고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_게살크림고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_고구마고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_까르보나라까망고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_꽃맛살고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_납작김치고로전,빵 및 과자류,크로켓(고로케),해당없음
고로케_단호박고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_돼지갈비고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_매콤아삭고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_매콤치킨고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_매콤치킨커리고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_명품잡채고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_명품카레고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_바삭쫄깃한 로제품은달걀,빵 및 과자류,크로켓(고로케),해당없음
고로케_슈크림고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_야채감자고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_야채고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_어니언크림치즈고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_옥수수치즈고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_이탈리안고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_잡채고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_중화잡채고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_추억의사라다고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_칠리꽃맛살고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_크림치즈고로케,빵 및 과자류,크로켓(고로케),해당없음
고로케_피자고로케,빵 및 과자류,크로켓(고로케),해당없음
고사리나물무침,나물·숙채류,고사리나물무침,해당없음
고추잡채,볶음류,고추잡채,해당없음
고추잡채,볶음류,고추잡채,해당없음
고추잡채_간편조리세트_고추잡채 꽃빵키트,볶음류,고추잡채,해당없음
고추장볶음,볶음류,고추장볶음,해당없음
고추장아찌,장아찌·절임류,고추장아찌,해당없음
고추장찌개_두부,찌개 및 전골류,고추장찌개,두부
고추장찌개_두부,찌개 및 전골류,고추장찌개,두부
고추전,전·적 및 부침류,고추전,해당없음
고추조림,조림류,고추조림,해당없음
고추조림_멸치,조림류,고추조림,멸치
고추튀김,튀김류,고추튀김,해당없음
고춧잎나물무침,나물·숙채류,고춧잎나물무침,해당없음
곤드레나물밥,밥류,곤드레나물밥,해당없음
곤드레밥_양념장,밥류,곤드레밥,양념장
곤약무침_마요네즈,생채·무침류,곤약무침,마요네즈
골뱅이무침,생채·무침류,골뱅이무침,해당없음
골뱅이무침_소면,생채·무침류,골뱅이무침,소면
골뱅이무침_채소,생채·무침류,골뱅이무침,채소
골뱅이무침_채소,생채·무침류,골뱅이무침,채소
골뱅이무침_채소,생채·무침류,골뱅이무침,채소
골뱅이무침_채소_소면,생채·무침류,골뱅이무침,채소
곰장어구이_짚불,구이류,곰장어구이,짚불
곰치국,국 및 탕류,곰치국,해당없음
곰탕,국 및 탕류,곰탕,해당없음
곰탕,국 및 탕류,곰탕,해당없음
곰탕_우거지,국 및 탕류,곰탕,우거지
곱창구이_소고기,구이류,곱창구이,소고기
곱창볶음_돼지고기,볶음류,곱창볶음,돼지고기
곱창볶음_돼지껍데기,볶음류,곱창볶음,돼지껍데기
곱창전골,찌개 및 전골류,곱창전골,해당없음
곱창전골_간편조리세트_대한곱창 곱창전골,찌개 및 전골류,곱창전골,해당없음
곱창전골_간편조리세트_소곱창순대전골,찌개 및 전골류,곱창전골,해당없음
곱창전골_소고기,찌개 및 전골류,곱창전골,소고기
과일_하루 한 컵 RED,과일류,과일,해당없음
과일샐러드,생채·무침류,과일샐러드,해당없음
과일샐러드,생채·무침류,과일샐러드,해당없음
과ㆍ채주스_22수박주스  아이스(ICED) (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_22수박주스 아이스(ICED) (Max),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_22수박주스 아이스(ICED) (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_Oh 자몽 핫(HOT) (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_건강주스 자몽미모,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_골드키위주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_그린 데이즈,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_그린 클렌즈,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_그린밸런스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_기운내라임 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_깔라망코주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_깔라망코주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_놀라운망고,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_놀라운청포도,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_놀라운패션후르츠,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_당근,음료 및 차류,과ㆍ채주스,당근
과ㆍ채주스_당근사과 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_더 건강한 스트로베리 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기 생과일주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기_바나나,음료 및 차류,과ㆍ채주스,딸기
과ㆍ채주스_딸기바나나,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기바나나주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_딸기주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_레드밸런스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_레드클렌즈,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_루트클렌즈,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 사과주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 수박 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 수박 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 캐롯플주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 토마토주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼 홍시주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_리얼수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고 주스 (J),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고 주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고바나나,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_망고주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_밀싹 케일 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_밀싹케일 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_바나나 생과일주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_바나나주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_바나나주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_배주스 아이스(ICED) (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_배주스 아이스(ICED) (Max),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_배주스 아이스(ICED) (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_베리&바나나 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_블랙베리 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_비타민주스 딸기,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_비타민주스 파인애플,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_비트 사과 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_비트파인애플 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_사과 비트 착즙 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_사과_당근,음료 및 차류,과ㆍ채주스,사과
과ㆍ채주스_생과일 수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_생과일 토마토주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_샤인머스캣주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_수박 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_수박머스캣 소다,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_수박주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_수박파인 펀치,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_슈퍼밸런스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_스타 루비 자몽 스위트 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_스트로베리 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_스트로베리 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_애플망고 주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_옐로우 클렌즈,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_옐로우 펀치,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오곡바나나주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지 당근 착즙 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지 썸머,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지 자몽 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지 후레쉬 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오렌지주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오리지널 깔라만시 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_오리지널 깔라만시 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전딸기주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전망고주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전블루베리주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전성주참외주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전수박주스 아이스(ICED),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_완전토마토,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_유기농 오렌지 100 주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 감귤&한라봉 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 사과&당근 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 사과주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 청포도&케일 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 키즈 뽀로로 사과 매실,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 키즈 뽀로로 오렌지,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_이디야 키즈 뽀로로 포도 블루베리,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_자몽 주스 (J),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_자몽 주스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_자몽 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_자몽 후레쉬 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_청포도케일 착즙주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_초코바나나,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_초코바나나주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_케일&사과주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위 생과일주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위쥬스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_키위쥬스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토 생과일주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토쥬스 (L),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_토마토쥬스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_파이팅 청귤 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_파인 자몽 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_파인애플 주스,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_한라봉주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_한방에 쭉 감당 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_해독주스_착즙형,음료 및 차류,과ㆍ채주스,해독주스
과ㆍ채주스_햇사과 주스 병음료,음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_혼합과일주스,음료 및 차류,과ㆍ채주스,혼합과일주스
과ㆍ채주스_홍시 주스 (R),음료 및 차류,과ㆍ채주스,해당없음
과ㆍ채주스_홍시주스,음료 및 차류,과ㆍ채주스,해당없음
국밥,밥류,국밥,해당없음
국밥_굴,밥류,국밥,굴
국밥_돼지고기,밥류,국밥,돼지고기
국밥_돼지머리,밥류,국밥,돼지머리
국밥_소고기,밥류,국밥,소고기
국밥_소머리,밥류,국밥,소머리
국밥_순대국밥,밥류,국밥,순대국밥
국밥_콩나물,밥류,국밥,콩나물
국수_김치말이국수,면 및 만두류,국수,김치말이국수
국수_막국수,면 및 만두류,국수,막국수
국수_막국수,면 및 만두류,국수,막국수
국수_비빔국수,면 및 만두류,국수,비빔국수
국수_열무김치,면 및 만두류,국수,열무김치
국수_잔치국수,면 및 만두류,국수,잔치국수
국수_쟁반막국수,면 및 만두류,국수,쟁반막국수
굴국_무,국 및 탕류,굴국,무
굴무침,생채·무침류,굴무침,해당없음
굴비구이,구이류,굴비구이,해당없음
굴전,전·적 및 부침류,굴전,해당없음
굴전,전·적 및 부침류,굴전,해당없음
귀리밥,밥류,귀리밥,해당없음
귤차_제주 청귤 그린티 아이스(ICED),음료 및 차류,귤차,해당없음
귤차_제주 한라봉감귤차 아이스(ICED),음료 및 차류,귤차,해당없음
귤차_제주 한라봉감귤차 핫(HOT),음료 및 차류,귤차,해당없음
귤차_제주청귤 블라썸 핫(HOT),음료 및 차류,귤차,해당없음
귤차_제주청귤 오리지널 핫(HOT),음료 및 차류,귤차,해당없음
기스면,면 및 만두류,기스면,해당없음
기장밥,밥류,기장밥,해당없음
기장밥,밥류,기장밥,해당없음
기장밥,밥류,기장밥,해당없음
기장밥,밥류,기장밥,해당없음
기타빵_밤이랑고구마랑,빵 및 과자류,기타빵,해당없음
기타빵_별님고구마,빵 및 과자류,기타빵,해당없음
기타빵_춘천 감자빵,빵 및 과자류,기타빵,해당없음
기타빵_트위스터,빵 및 과자류,기타빵,해당없음
기타음료_라임모히또,음료 및 차류,기타음료,해당없음
기타음료_레드 파워 스매셔 (Grande),음료 및 차류,기타음료,해당없음
기타음료_스타벅스 슬래머 (Grande),음료 및 차류,기타음료,해당없음
기타음료_아이스미초,음료 및 차류,기타음료,해당없음
기타음료_자몽모히또,음료 및 차류,기타음료,해당없음
기타음료_청포도모히또,음료 및 차류,기타음료,해당없음
기타음료_청포도플라워 아이스(ICED),음료 및 차류,기타음료,해당없음
기타차_골든펄 딸기 캐모마일티,음료 및 차류,기타차,해당없음
기타차_골든펄 망고 패션프룻 그린티,음료 및 차류,기타차,해당없음
기타차_깔라만시,음료 및 차류,기타차,해당없음
기타차_깔라만시티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_깔라봉 차 (L),음료 및 차류,기타차,해당없음
기타차_깔라봉 차 (R),음료 및 차류,기타차,해당없음
기타차_딸기티 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_딸기티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_라임티 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_라임티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_삼라봉티 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_삼라봉티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_상그리아 티 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_상그리아 티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_샤인머스캣 티플레저,음료 및 차류,기타차,해당없음
기타차_석류 오리지널 핫(HOT),음료 및 차류,기타차,해당없음
기타차_스위트 피치 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_스트로베리 릴렉싱티,음료 및 차류,기타차,해당없음
기타차_유스베리 로즈 티 브리즈 아이스(ICED) (Grande),음료 및 차류,기타차,해당없음
기타차_유스베리 로즈 티 브리즈 핫(HOT) (Grande),음료 및 차류,기타차,해당없음
기타차_자몽 그린티 (J),음료 및 차류,기타차,해당없음
기타차_자몽 그린티 (L),음료 및 차류,기타차,해당없음
기타차_제주 그린 티 브리즈 (Grande),음료 및 차류,기타차,해당없음
기타차_제주 키위 오션 그린티 (Grande),음료 및 차류,기타차,해당없음
기타차_제주당근오렌지티플레저 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_청포도 그린티 (J),음료 및 차류,기타차,해당없음
기타차_청포도 그린티 (L),음료 및 차류,기타차,해당없음
기타차_청포도 그린티+알로에 (J),음료 및 차류,기타차,해당없음
기타차_청포도 그린티+알로에 (L),음료 및 차류,기타차,해당없음
기타차_카페오르조,음료 및 차류,기타차,해당없음
기타차_트로피컬망고 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_패션 프룻 히비스커스 (J),음료 및 차류,기타차,해당없음
기타차_패션 프룻 히비스커스 (L),음료 및 차류,기타차,해당없음
기타차_폼폼 민트 티 (Grande),음료 및 차류,기타차,해당없음
기타차_폼폼 유스베리 티 (Grande),음료 및 차류,기타차,해당없음
기타차_피치우롱스위티 아이스(ICED),음료 및 차류,기타차,해당없음
기타차_피치우롱스위티 핫(HOT),음료 및 차류,기타차,해당없음
기타차_한라봉차,음료 및 차류,기타차,해당없음
기피편,빵 및 과자류,기피편,해당없음
김구이_조미김,구이류,김구이,조미김
김말이튀김,튀김류,김말이튀김,해당없음
김말이튀김,튀김류,김말이튀김,해당없음
김무침,생채·무침류,김무침,해당없음
김무침,생채·무침류,김무침,해당없음
김무침,생채·무침류,김무침,해당없음
김밥,밥류,김밥,해당없음
김밥_김치,밥류,김밥,김치
김밥_김치,밥류,김밥,김치
김밥_날치알,밥류,김밥,날치알
김밥_돈가스,밥류,김밥,돈가스
김밥_샐러드,밥류,김밥,샐러드
김밥_소고기,밥류,김밥,소고기
김밥_소고기,밥류,김밥,소고기
김밥_참치,밥류,김밥,참치
김밥_참치,밥류,김밥,참치
김밥_참치,밥류,김밥,참치
김밥_채소,밥류,김밥,채소
김밥_치즈,밥류,김밥,치즈
김밥_풋고추,밥류,김밥,풋고추
김치국,국 및 탕류,김치국,해당없음
김치국,국 및 탕류,김치국,해당없음
김치국_김치,국 및 탕류,김치국,김치
김치국_김치_두부,국 및 탕류,김치국,김치
김치국_김치_콩나물,국 및 탕류,김치국,김치
김치국_김치_콩나물,국 및 탕류,김치국,김치
김치국_콩나물,국 및 탕류,김치국,콩나물
김치만두,면 및 만두류,만두,김치만두
김치볶음,볶음류,김치볶음,해당없음
김치볶음_김치,볶음류,김치볶음,김치
김치볶음_김치,볶음류,김치볶음,김치
김치볶음_김치_참치,볶음류,김치볶음,김치
김치볶음_김치_참치,볶음류,김치볶음,김치
김치볶음_김치만,볶음류,김치볶음,김치만
김치볶음_참치,볶음류,김치볶음,참치
김치전,전·적 및 부침류,김치전,해당없음
김치전,전·적 및 부침류,김치전,해당없음
김치전_해물,전·적 및 부침류,김치전,해물
김치전_해물,전·적 및 부침류,김치전,해물
김치전골,찌개 및 전골류,김치전골,해당없음
김치찌개,찌개 및 전골류,김치찌개,해당없음
김치찌개_김치만,찌개 및 전골류,김치찌개,김치만
김치찌개_꽁치,찌개 및 전골류,김치찌개,꽁치
김치찌개_돼지고기,찌개 및 전골류,김치찌개,돼지고기
김치찌개_돼지고기,찌개 및 전골류,김치찌개,돼지고기
김치찌개_돼지고기,찌개 및 전골류,김치찌개,돼지고기
김치찌개_돼지고기,찌개 및 전골류,김치찌개,돼지고기
김치찌개_어묵,찌개 및 전골류,김치찌개,어묵
김치찌개_참치,찌개 및 전골류,김치찌개,참치
김치찌개_참치,찌개 및 전골류,김치찌개,참치
김치찌개_참치,찌개 및 전골류,김치찌개,참치
김치찌개_참치,찌개 및 전골류,김치찌개,참치
김치찌개_햄,찌개 및 전골류,김치찌개,햄
김치찌개_햄,찌개 및 전골류,김치찌개,햄
김치찜_간편조리세트_돼지고기 김치찜,찜류,김치찜,해당없음
김치찜_간편조리세트_돼지고기 묵은지찜,찜류,김치찜,해당없음
김치찜_돼지고기,찜류,김치찜,돼지고기
김치찜_돼지고기,찜류,김치찜,돼지고기
김치찜_돼지고기,찜류,김치찜,돼지고기
김튀김,튀김류,김튀김,해당없음
깍두기,김치류,깍두기,해당없음
