"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"대한적십자사","서울중앙",남,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195481,18294,9.4,16125,8.2,18754,9.6,15027,7.7,16767,8.6,15267,7.8,16762,8.6,15900,8.1,14913,7.6,15447,7.9,16848,8.6,15377,7.9,182916,17764,9.7,15394,8.4,16431,9.0,14027,7.7,15010,8.2,15120,8.3,15038,8.2,14955,8.2,12827,7.0,14326,7.8,16174,8.8,15850,8.7,157832,14962,9.5,13906,8.8,11544,7.3,13182,8.4,14771,9.4,14497,9.2,13067,8.3,12471,7.9,11716,7.4,12679,8.0,12304,7.8,12733,8.1,155322,13058,8.4,11669,7.5,13499,8.7,12568,8.1,13158,8.5,12837,8.3,12108,7.8,12277,7.9,12813,8.2,13159,8.5,13805,8.9,14371,9.3
"대한적십자사","서울중앙",여,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71096,6515,9.2,5341,7.5,6211,8.7,6189,8.7,6715,9.4,5582,7.9,6319,8.9,5518,7.8,5383,7.6,5508,7.7,6411,9.0,5404,7.6,68119,5799,8.5,4758,7.0,4982,7.3,5046,7.4,7043,10.3,5183,7.6,6456,9.5,6094,8.9,4653,6.8,6267,9.2,6117,9.0,5721,8.4,64192,4869,7.6,5432,8.5,4743,7.4,4527,7.1,6407,10.0,5311,8.3,5843,9.1,5542,8.6,5403,8.4,5188,8.1,5022,7.8,5905,9.2,61162,4798,7.8,4288,7.0,5349,8.7,4820,7.9,5151,8.4,5487,9.0,5150,8.4,5180,8.5,4704,7.7,5316,8.7,5372,8.8,5547,9.1
"대한적십자사","서울서부",계,277348,23689,8.5,21820,7.9,24201,8.7,20490,7.4,27285,9.8,21355,7.7,24686,8.9,23254,8.4,21456,7.7,20437,7.4,24266,8.7,24409,8.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",남,201838,17932,8.9,16052,8.0,18191,9.0,14363,7.1,19455,9.6,15613,7.7,17567,8.7,16816,8.3,15523,7.7,15389,7.6,17156,8.5,17781,8.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",여,75510,5757,7.6,5768,7.6,6010,8.0,6127,8.1,7830,10.4,5742,7.6,7119,9.4,6438,8.5,5933,7.9,5048,6.7,7110,9.4,6628,8.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울남부",계,246596,19955,8.1,19717,8.0,21340,8.7,19427,7.9,21368,8.7,18874,7.7,23512,9.5,22183,9.0,19080,7.7,18821,7.6,20579,8.3,21740,8.8,230499,20334,8.8,17261,7.5,21216,9.2,20239,8.8,19471,8.4,18164,7.9,20203,8.8,17416,7.6,17833,7.7,19437,8.4,20476,8.9,18449,8.0,214734,20384,9.5,16486,7.7,18033,8.4,17466,8.1,19845,9.2,16540,7.7,18762,8.7,17106,8.0,15224,7.1,18785,8.7,18454,8.6,17649,8.2,190301,17098,9.0,15223,8.0,16852,8.9,14481,7.6,16737,8.8,16845,8.9,17015,8.9,15429,8.1,14458,7.6,15197,8.0,14626,7.7,16340,8.6,176386,15178,8.6,13390,7.6,15559,8.8,14946,8.5,15692,8.9,14673,8.3,13464,7.6,14666,8.3,13364,7.6,14138,8.0,15249,8.6,16067,9.1
"대한적십자사","서울남부",남,185180,15541,8.4,14900,8.0,15957,8.6,14802,8.0,15708,8.5,14448,7.8,17413,9.4,16793,9.1,13746,7.4,14004,7.6,15391,8.3,16477,8.9,173905,15630,9.0,13013,7.5,16379,9.4,14968,8.6,14415,8.3,13777,7.9,15424,8.9,12969,7.5,13254,7.6,14622,8.4,15594,9.0,13860,8.0,160320,15551,9.7,12389,7.7,13936,8.7,13246,8.3,14339,8.9,12323,7.7,13670,8.5,12398,7.7,11231,7.0,13756,8.6,14014,8.7,13467,8.4,144323,13434,9.3,11344,7.9,13158,9.1,11352,7.9,12313,8.5,12712,8.8,12770,8.8,11582,8.0,10853,7.5,11591,8.0,11063,7.7,12151,8.4,132869,11473,8.6,10214,7.7,11926,9.0,11402,8.6,11946,9.0,11116,8.4,9706,7.3,10603,8.0,10332,7.8,10639,8.0,11431,8.6,12081,9.1
"대한적십자사","서울남부",여,61416,4414,7.2,4817,7.8,5383,8.8,4625,7.5,5660,9.2,4426,7.2,6099,9.9,5390,8.8,5334,8.7,4817,7.8,5188,8.4,5263,8.6,56594,4704,8.3,4248,7.5,4837,8.5,5271,9.3,5056,8.9,4387,7.8,4779,8.4,4447,7.9,4579,8.1,4815,8.5,4882,8.6,4589,8.1,54414,4833,8.9,4097,7.5,4097,7.5,4220,7.8,5506,10.1,4217,7.7,5092,9.4,4708,8.7,3993,7.3,5029,9.2,4440,8.2,4182,7.7,45978,3664,8.0,3879,8.4,3694,8.0,3129,6.8,4424,9.6,4133,9.0,4245,9.2,3847,8.4,3605,7.8,3606,7.8,3563,7.7,4189,9.1,43517,3705,8.5,3176,7.3,3633,8.3,3544,8.1,3746,8.6,3557,8.2,3758,8.6,4063,9.3,3032,7.0,3499,8.0,3818,8.8,3986,9.2
"대한적십자사","서울동부",계,279786,22601,8.1,23250,8.3,23713,8.5,21057,7.5,24640,8.8,22106,7.9,26396,9.4,23580,8.4,22008,7.9,21831,7.8,23906,8.5,24698,8.8,279045,25139,9.0,22500,8.1,25353,9.1,21542,7.7,24629,8.8,22300,8.0,23962,8.6,21621,7.7,21509,7.7,22563,8.1,24918,8.9,23009,8.2,259856,24404,9.4,19791,7.6,21493,8.3,19758,7.6,24168,9.3,20649,7.9,22671,8.7,20396,7.8,18848,7.3,22496,8.7,22751,8.8,22431,8.6,231788,20337,8.8,19306,8.3,20318,8.8,19562,8.4,19406,8.4,22138,9.6,18864,8.1,17430,7.5,18038,7.8,17806,7.7,18562,8.0,20021,8.6,230555,19890,8.6,17090,7.4,20359,8.8,19836,8.6,19525,8.5,19592,8.5,18276,7.9,18458,8.0,17852,7.7,18436,8.0,20092,8.7,21149,9.2
"대한적십자사","서울동부",남,201327,17126,8.5,17691,8.8,18042,9.0,15091,7.5,17139,8.5,15908,7.9,18574,9.2,16707,8.3,15566,7.7,15005,7.5,17036,8.5,17442,8.7,201187,18721,9.3,16973,8.4,19062,9.5,15114,7.5,17434,8.7,15011,7.5,16980,8.4,15801,7.9,15109,7.5,16042,8.0,17910,8.9,17030,8.5,186199,18784,10.1,14982,8.0,16488,8.9,14427,7.7,16334,8.8,13957,7.5,15565,8.4,13758,7.4,13308,7.1,15390,8.3,16704,9.0,16502,8.9,171190,16098,9.4,14466,8.5,16063,9.4,15276,8.9,13675,8.0,16765,9.8,13169,7.7,12270,7.2,13032,7.6,12440,7.3,13324,7.8,14612,8.5,167635,15205,9.1,12795,7.6,15106,9.0,14589,8.7,14066,8.4,14127,8.4,12500,7.5,13198,7.9,13061,7.8,13133,7.8,14736,8.8,15119,9.0
