"대한적십자사","서울중앙",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,50528,19.0,14569,5.5,1287,0.5,30498,11.4,650,0.2,3524,1.3,216049,81.0,5787,2.2,210214,78.9,48,-,251035,50398,20.1,14910,5.9,1932,0.8,28396,11.3,642,0.3,4518,1.8,200637,79.9,5246,2.1,195370,77.8,21,0.0,222024,30847,13.9,3679,1.7,237,0.1,17923,8.1,68,-,8940,4.0,191177,86.1,4841,2.2,186115,83.8,221,0.1,216484,31817,14.7,6221,2.9,430,0.2,16688,7.7,653,0.3,7825,3.6,184667,85.3,4869,2.2,179771,83.0,27,0.0
"대한적십자사","서울중앙",남,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195481,44242,22.6,10296,5.3,858,0.4,30330,15.5,110,0.1,2648,1.4,151239,77.4,4411,2.3,146795,75.1,33,-,182916,43478,23.8,10651,5.8,1287,0.7,28204,15.4,153,0.1,3183,1.7,139438,76.2,3840,2.1,135584,74.1,14,0.0,157832,26713,16.9,2816,1.8,149,0.1,17732,11.2,39,-,5977,3.8,131119,83.1,3449,2.2,127521,80.8,149,0.1,155322,26848,17.3,4697,3.0,281,0.2,16388,10.6,304,0.2,5178,3.3,128474,82.7,3555,2.3,124898,80.4,21,0.0
"대한적십자사","서울중앙",여,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71096,6286,8.8,4273,6.0,429,0.6,168,0.2,540,0.8,876,1.2,64810,91.2,1376,1.9,63419,89.2,15,-,68119,6920,10.2,4259,6.3,645,0.9,192,0.3,489,0.7,1335,2.0,61199,89.8,1406,2.1,59786,87.8,7,0.0,64192,4134,6.4,863,1.3,88,0.1,191,0.3,29,-,2963,4.6,60058,93.6,1392,2.2,58594,91.3,72,0.1,61162,4969,8.1,1524,2.5,149,0.2,300,0.5,349,0.6,2647,4.3,56193,91.9,1314,2.1,54873,89.7,6,0.0
"대한적십자사","서울서부",계,277348,56624,20.4,18559,6.7,1741,0.6,31229,11.3,682,0.2,4413,1.6,220724,79.6,5539,2.0,215152,77.6,33,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",남,201838,48975,24.3,13338,6.6,1131,0.6,31068,15.4,102,0.1,3336,1.7,152863,75.7,4253,2.1,148584,73.6,26,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",여,75510,7649,10.1,5221,6.9,610,0.8,161,0.2,580,0.8,1077,1.4,67861,89.9,1286,1.7,66568,88.2,7,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울남부",계,246596,77412,31.4,18440,7.5,3149,1.3,41227,16.7,1119,0.5,13477,5.5,169184,68.6,3416,1.4,165768,67.2,0,0.0,230499,66913,29.0,16657,7.2,2765,1.2,34783,15.1,1072,0.5,11636,5.0,163586,71.0,3775,1.6,159811,69.3,-,-,214734,60347,28.1,16875,7.9,3054,1.4,28533,13.3,505,0.2,11380,5.3,154387,71.9,3852,1.8,150535,70.1,0,0.0,190301,49293,25.9,2550,1.3,566,0.3,32306,17.0,125,0.1,13746,7.2,141008,74.1,3833,2.0,137175,72.1,-,-,176386,39832,22.6,3276,1.9,508,0.3,24888,14.1,958,0.5,10202,5.8,136554,77.4,4130,2.3,131898,74.8,526,0.3
"대한적십자사","서울남부",남,185180,67961,36.7,13743,7.4,2229,1.2,40981,22.1,326,0.2,10682,5.8,117219,63.3,2716,1.5,114503,61.8,0,0.0,173905,58125,33.4,12386,7.1,2009,1.2,34518,19.8,322,0.2,8890,5.1,115780,66.6,3051,1.8,112729,64.8,-,-,160320,51260,32.0,12533,7.8,2147,1.3,28190,17.6,305,0.2,8085,5.0,109060,68.0,3010,1.9,106050,66.1,0,0.0,144323,44550,30.9,2179,1.5,481,0.3,31753,22.0,69,-,10068,7.0,99773,69.1,3008,2.1,96765,67.0,-,-,132869,35451,26.7,2771,2.1,383,0.3,24398,18.4,585,0.4,7314,5.5,97418,73.3,3239,2.4,93822,70.6,357,0.3
"대한적십자사","서울남부",여,61416,9451,15.4,4697,7.6,920,1.5,246,0.4,793,1.3,2795,4.6,51965,84.6,700,1.1,51265,83.5,0,0.0,56594,8788,15.5,4271,7.5,756,1.3,265,0.5,750,1.3,2746,4.9,47806,84.5,724,1.3,47082,83.2,-,-,54414,9087,16.7,4342,8.0,907,1.7,343,0.6,200,0.4,3295,6.1,45327,83.3,842,1.5,44485,81.8,0,0.0,45978,4743,10.3,371,0.8,85,0.2,553,1.2,56,0.1,3678,8.0,41235,89.7,825,1.8,40410,87.9,-,-,43517,4381,10.1,505,1.2,125,0.3,490,1.1,373,0.9,2888,6.6,39136,89.9,891,2.0,38076,87.5,169,0.4
"대한적십자사","서울동부",계,279786,79896,28.6,26912,9.6,3262,1.2,39161,14.0,1297,0.5,9264,3.3,199890,71.4,5003,1.8,194796,69.6,91,0.0,279045,73356,26.3,25497,9.1,3342,1.2,34461,12.3,1930,0.7,8126,2.9,205689,73.7,4715,1.7,200481,71.8,493,0.2,259856,64877,25.0,24727,9.5,3476,1.3,25834,9.9,1030,0.4,9810,3.8,194979,75.0,5292,2.0,189658,73.0,29,0.0,231788,52147,22.5,2818,1.2,2029,0.9,35718,15.4,212,0.1,11370,4.9,179641,77.5,4991,2.2,173377,74.8,1273,0.5,230555,50377,21.9,5148,2.2,2792,1.2,29799,12.9,848,0.4,11790,5.1,180178,78.1,5023,2.2,172481,74.8,2674,1.2
