"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"대한적십자사","서울중앙",남,-,-,-,-,-,-,-,-,-,-,-,-,-,195481,36260,18.5,85725,43.9,35174,18.0,25615,13.1,10391,5.3,2316,1.2,182916,32574,17.8,75678,41.4,34284,18.7,25887,14.2,11698,6.4,2795,1.5,157832,19752,12.5,58255,36.9,32979,20.9,28475,18.0,15143,9.6,3228,2.0,155322,20789,13.4,55630,35.8,31211,20.1,28256,18.2,15839,10.2,3597,2.3
"대한적십자사","서울중앙",여,-,-,-,-,-,-,-,-,-,-,-,-,-,71096,24058,33.8,26781,37.7,10284,14.5,6950,9.8,2561,3.6,462,0.6,68119,21163,31.1,24790,36.4,10688,15.7,7618,11.2,3272,4.8,588,0.9,64192,13372,20.8,24775,38.6,12109,18.9,8923,13.9,4268,6.6,745,1.2,61162,11555,18.9,23129,37.8,11591,19.0,9376,15.3,4713,7.7,798,1.3
"대한적십자사","서울서부",계,277348,70569,25.4,117070,42.2,44353,16.0,31365,11.3,11604,4.2,2387,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",남,201838,43565,21.6,88114,43.7,34111,16.9,24650,12.2,9335,4.6,2063,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울서부",여,75510,27004,35.8,28956,38.3,10242,13.6,6715,8.9,2269,3.0,324,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대한적십자사","서울남부",계,246596,54123,21.9,113174,45.9,41030,16.6,26782,10.9,9455,3.8,2032,0.8,230499,46764,20.3,101874,44.2,40915,17.8,28120,12.2,10545,4.6,2281,1.0,214734,41723,19.4,87990,41.0,40653,18.9,29409,13.7,12346,5.7,2613,1.2,190301,22090,11.6,78975,41.5,38854,20.4,31865,16.7,15613,8.2,2904,1.5,176386,20545,11.6,68878,39.0,36066,20.4,31080,17.6,16640,9.4,3177,1.8
"대한적십자사","서울남부",남,185180,35391,19.1,87312,47.1,31889,17.2,21448,11.6,7518,4.1,1622,0.9,173905,30955,17.8,78871,45.4,31562,18.1,22311,12.8,8307,4.8,1899,1.1,160320,27756,17.3,66663,41.6,31117,19.4,23031,14.4,9657,6.0,2096,1.3,144323,15050,10.4,60097,41.6,29322,20.3,24961,17.3,12631,8.8,2262,1.6,132869,14614,11.0,51508,38.8,27033,20.3,24173,18.2,13111,9.9,2430,1.8
"대한적십자사","서울남부",여,61416,18732,30.5,25862,42.1,9141,14.9,5334,8.7,1937,3.2,410,0.7,56594,15809,27.9,23003,40.6,9353,16.5,5809,10.3,2238,4.0,382,0.7,54414,13967,25.7,21327,39.2,9536,17.5,6378,11.7,2689,4.9,517,1.0,45978,7040,15.3,18878,41.1,9532,20.7,6904,15.0,2982,6.5,642,1.4,43517,5931,13.6,17370,39.9,9033,20.8,6907,15.9,3529,8.1,747,1.7
"대한적십자사","서울동부",계,279786,83985,30.0,113252,40.5,36688,13.1,31064,11.1,12000,4.3,2797,1.0,279045,78378,28.1,109352,39.2,39287,14.1,34365,12.3,14436,5.2,3227,1.2,259856,68956,26.5,94578,36.4,39162,15.1,36692,14.1,16819,6.5,3649,1.4,231788,38497,16.6,91560,39.5,38341,16.5,38615,16.7,20598,8.9,4177,1.8,230555,36756,15.9,88706,38.5,37968,16.5,39253,17.0,23022,10.0,4850,2.1
"대한적십자사","서울동부",남,201327,50080,24.9,87711,43.6,28036,13.9,23787,11.8,9338,4.6,2375,1.2,201187,46981,23.4,84774,42.1,29667,14.7,26023,12.9,11091,5.5,2651,1.3,186199,40779,21.9,72061,38.7,29728,16.0,27882,15.0,12838,6.9,2911,1.6,171190,23630,13.8,70064,40.9,28715,16.8,29522,17.2,15949,9.3,3310,1.9,167635,22859,13.6,66136,39.5,28157,16.8,29299,17.5,17390,10.4,3794,2.3
